season,source_team_id,game_key,date_label,opponent,raw_row,game_id,game_date,away_team,home_team,away_score,home_score,box_score_url
2026,,2026_sportstrack_11872,2026-04-27,The Big Units at Bash Brothers,1 | Monday | 04/27/26 | 6:00 PM | TBD | Bash Brothers | 16 | The Big Units | 15 |  |  | 11872,11872,2026-04-27,The Big Units,Bash Brothers,15,16,https://lvc.sportstrack.app/softball/seasons/302/box-scores/11872
2026,,2026_sportstrack_11891,2026-05-26,Muscle Hamsters at Black Mambas,25 | Tuesday | 05/26/26 | 6:30 PM | TBD | Black Mambas | 8 | Muscle Hamsters | 7 |  |  | 11891,11891,2026-05-26,Muscle Hamsters,Black Mambas,7,8,https://lvc.sportstrack.app/softball/seasons/302/box-scores/11891
2026,,2026_sportstrack_11900,2026-05-30,Wild Things at Bash Brothers,26 | Saturday | 05/30/26 | 9:00 AM | TBD | Bash Brothers | 15 | Wild Things | 18 |  |  | 11900,11900,2026-05-30,Wild Things,Bash Brothers,18,15,https://lvc.sportstrack.app/softball/seasons/302/box-scores/11900
2026,,2026_sportstrack_11901,2026-05-30,The Sultans Of Swat at The Big Papi's,27 | Saturday | 05/30/26 | 10:30 AM | TBD | The Big Papi's | 8 | The Sultans Of Swat | 7 |  |  | 11901,11901,2026-05-30,The Sultans Of Swat,The Big Papi's,7,8,https://lvc.sportstrack.app/softball/seasons/302/box-scores/11901
2026,,2026_sportstrack_11902,2026-05-30,The Big Units at 7th Floor Crew,28 | Saturday | 05/30/26 | 12:00 PM | TBD | 7th Floor Crew | 18 | The Big Units | 19 |  |  | 11902,11902,2026-05-30,The Big Units,7th Floor Crew,19,18,https://lvc.sportstrack.app/softball/seasons/302/box-scores/11902
2026,,2026_sportstrack_11903,2026-05-31,Black Mambas at Lunch Pail Guys,29 | Sunday | 05/31/26 | 4:30 PM | TBD | Lunch Pail Guys | 9 | Black Mambas | 7 |  |  | 11903,11903,2026-05-31,Black Mambas,Lunch Pail Guys,7,9,https://lvc.sportstrack.app/softball/seasons/302/box-scores/11903
2026,,2026_sportstrack_11904,2026-05-31,The Ryan Express at Nails,30 | Sunday | 05/31/26 | 6:00 PM | TBD | Nails | 12 | The Ryan Express | 21 |  |  | 11904,11904,2026-05-31,The Ryan Express,Nails,21,12,https://lvc.sportstrack.app/softball/seasons/302/box-scores/11904
2026,,2026_sportstrack_11905,2026-06-02,Muscle Hamsters at Wild Things,31 | Tuesday | 06/02/26 | 6:30 PM | TBD | Wild Things | 1 | Muscle Hamsters | 17 |  |  | 11905,11905,2026-06-02,Muscle Hamsters,Wild Things,17,1,https://lvc.sportstrack.app/softball/seasons/302/box-scores/11905
2026,,2026_sportstrack_11906,2026-06-04,Honey Badgers at The Sultans Of Swat,32 | Thursday | 06/04/26 | 6:30 PM | TBD | The Sultans Of Swat | 22 | Honey Badgers | 7 |  |  | 11906,11906,2026-06-04,Honey Badgers,The Sultans Of Swat,7,22,https://lvc.sportstrack.app/softball/seasons/302/box-scores/11906
2026,,2026_sportstrack_11907,2026-06-05,The Big Papi's at Bash Brothers,33 | Friday | 06/05/26 | 6:30 PM | TBD | Bash Brothers | 15 | The Big Papi's | 14 |  |  | 11907,11907,2026-06-05,The Big Papi's,Bash Brothers,14,15,https://lvc.sportstrack.app/softball/seasons/302/box-scores/11907
2026,,2026_sportstrack_11909,2026-06-06,Nails at 7th Floor Crew,34 | Saturday | 06/06/26 | 10:30 AM | TBD | 7th Floor Crew | 8 | Nails | 6 |  |  | 11909,11909,2026-06-06,Nails,7th Floor Crew,6,8,https://lvc.sportstrack.app/softball/seasons/302/box-scores/11909
2026,,2026_sportstrack_11910,2026-06-06,Wild Things at Black Mambas,35 | Saturday | 06/06/26 | 12:00 PM | TBD | Black Mambas | 13 | Wild Things | 10 |  |  | 11910,11910,2026-06-06,Wild Things,Black Mambas,10,13,https://lvc.sportstrack.app/softball/seasons/302/box-scores/11910
2026,,2026_sportstrack_11899,2026-06-07,Nails at Honey Badgers,36 | Sunday | 06/07/26 | 3:00 PM | TBD | Honey Badgers | 10 | Nails | 13 |  |  | 11899,11899,2026-06-07,Nails,Honey Badgers,13,10,https://lvc.sportstrack.app/softball/seasons/302/box-scores/11899
2026,,2026_sportstrack_11911,2026-06-07,The Sultans Of Swat at The Ryan Express,37 | Sunday | 06/07/26 | 4:30 PM | TBD | The Ryan Express | 2 | The Sultans Of Swat | 20 |  |  | 11911,11911,2026-06-07,The Sultans Of Swat,The Ryan Express,20,2,https://lvc.sportstrack.app/softball/seasons/302/box-scores/11911
2026,,2026_sportstrack_11912,2026-06-07,The Big Papi's at Muscle Hamsters,38 | Sunday | 06/07/26 | 6:00 PM | TBD | Muscle Hamsters | 13 | The Big Papi's | 14 |  |  | 11912,11912,2026-06-07,The Big Papi's,Muscle Hamsters,14,13,https://lvc.sportstrack.app/softball/seasons/302/box-scores/11912
2026,,2026_sportstrack_11913,2026-06-09,Bash Brothers at Honey Badgers,39 | Tuesday | 06/09/26 | 6:30 PM | TBD | Honey Badgers | 11 | Bash Brothers | 12 |  |  | 11913,11913,2026-06-09,Bash Brothers,Honey Badgers,12,11,https://lvc.sportstrack.app/softball/seasons/302/box-scores/11913
2026,,2026_sportstrack_11914,2026-06-11,The Big Units at Nails,40 | Thursday | 06/11/26 | 6:30 PM | TBD | Nails | 12 | The Big Units | 18 |  |  | 11914,11914,2026-06-11,The Big Units,Nails,18,12,https://lvc.sportstrack.app/softball/seasons/302/box-scores/11914
2026,,2026_sportstrack_11916,2026-06-13,7th Floor Crew at The Sultans Of Swat,41 | Saturday | 06/13/26 | 9:00 AM | TBD | The Sultans Of Swat | 16 | 7th Floor Crew | 7 |  |  | 11916,11916,2026-06-13,7th Floor Crew,The Sultans Of Swat,7,16,https://lvc.sportstrack.app/softball/seasons/302/box-scores/11916
2026,,2026_sportstrack_11917,2026-06-13,Black Mambas at The Big Papi's,42 | Saturday | 06/13/26 | 10:30 AM | TBD | The Big Papi's | 5 | Black Mambas | 17 |  |  | 11917,11917,2026-06-13,Black Mambas,The Big Papi's,17,5,https://lvc.sportstrack.app/softball/seasons/302/box-scores/11917
2026,,2026_sportstrack_11918,2026-06-13,Bash Brothers at The Ryan Express,43 | Saturday | 06/13/26 | 12:00 PM | TBD | The Ryan Express | 8 | Bash Brothers | 15 |  |  | 11918,11918,2026-06-13,Bash Brothers,The Ryan Express,15,8,https://lvc.sportstrack.app/softball/seasons/302/box-scores/11918
2026,,2026_sportstrack_11908,2026-06-14,Lunch Pail Guys at The Big Units,44 | Sunday | 06/14/26 | 3:00 PM | TBD | The Big Units | 1 | Lunch Pail Guys | 24 |  |  | 11908,11908,2026-06-14,Lunch Pail Guys,The Big Units,24,1,https://lvc.sportstrack.app/softball/seasons/302/box-scores/11908
2026,,2026_sportstrack_11919,2026-06-14,Honey Badgers at Muscle Hamsters,45 | Sunday | 06/14/26 | 4:30 PM | TBD | Muscle Hamsters | 11 | Honey Badgers | 12 |  |  | 11919,11919,2026-06-14,Honey Badgers,Muscle Hamsters,12,11,https://lvc.sportstrack.app/softball/seasons/302/box-scores/11919
2026,,2026_sportstrack_11921,2026-06-16,The Sultans Of Swat at Nails,46 | Tuesday | 06/16/26 | 6:30 PM | TBD | Nails | 12 | The Sultans Of Swat | 15 |  |  | 11921,11921,2026-06-16,The Sultans Of Swat,Nails,15,12,https://lvc.sportstrack.app/softball/seasons/302/box-scores/11921
2026,,2026_sportstrack_11922,2026-06-18,The Big Papi's at Lunch Pail Guys,47 | Thursday | 06/18/26 | 6:30 PM | TBD | Lunch Pail Guys | 10 | The Big Papi's | 8 |  |  | 11922,11922,2026-06-18,The Big Papi's,Lunch Pail Guys,8,10,https://lvc.sportstrack.app/softball/seasons/302/box-scores/11922
2026,,2026_sportstrack_11924,2026-06-20,Honey Badgers at Black Mambas,48 | Saturday | 06/20/26 | 9:00 AM | TBD | Black Mambas | 20 | Honey Badgers | 7 |  |  | 11924,11924,2026-06-20,Honey Badgers,Black Mambas,7,20,https://lvc.sportstrack.app/softball/seasons/302/box-scores/11924
2026,,2026_sportstrack_11925,2026-06-20,Muscle Hamsters at The Ryan Express,49 | Saturday | 06/20/26 | 10:30 AM | TBD | The Ryan Express | 11 | Muscle Hamsters | 9 |  |  | 11925,11925,2026-06-20,Muscle Hamsters,The Ryan Express,9,11,https://lvc.sportstrack.app/softball/seasons/302/box-scores/11925
2026,,2026_sportstrack_11926,2026-06-20,The Big Units at The Sultans Of Swat,50 | Saturday | 06/20/26 | 12:00 PM | TBD | The Sultans Of Swat | 20 | The Big Units | 5 |  |  | 11926,11926,2026-06-20,The Big Units,The Sultans Of Swat,5,20,https://lvc.sportstrack.app/softball/seasons/302/box-scores/11926
2026,,2026_sportstrack_11892,2026-06-22,Honey Badgers at 7th Floor Crew,51 | Monday | 06/22/26 | 6:30 PM | TBD | 7th Floor Crew | 20 | Honey Badgers | 18 |  |  | 11892,11892,2026-06-22,Honey Badgers,7th Floor Crew,18,20,https://lvc.sportstrack.app/softball/seasons/302/box-scores/11892
2026,,2026_sportstrack_11928,2026-06-25,Bash Brothers at Nails,52 | Thursday | 06/25/26 | 6:30 PM | TBD | Nails | 10 | Bash Brothers | 20 |  |  | 11928,11928,2026-06-25,Bash Brothers,Nails,20,10,https://lvc.sportstrack.app/softball/seasons/302/box-scores/11928
2026,,2026_sportstrack_11929,2026-06-26,Honey Badgers at Lunch Pail Guys,53 | Friday | 06/26/26 | 6:30 PM | TBD | Lunch Pail Guys | 16 | Honey Badgers | 9 |  |  | 11929,11929,2026-06-26,Honey Badgers,Lunch Pail Guys,9,16,https://lvc.sportstrack.app/softball/seasons/302/box-scores/11929
2026,,2026_sportstrack_11930,2026-06-28,Muscle Hamsters at 7th Floor Crew,54 | Sunday | 06/28/26 | 4:30 PM | TBD | 7th Floor Crew | 17 | Muscle Hamsters | 16 |  |  | 11930,11930,2026-06-28,Muscle Hamsters,7th Floor Crew,16,17,https://lvc.sportstrack.app/softball/seasons/302/box-scores/11930
2026,,2026_sportstrack_11931,2026-06-28,The Ryan Express at Black Mambas,55 | Sunday | 06/28/26 | 6:00 PM | TBD | Black Mambas | 9 | The Ryan Express | 14 |  |  | 11931,11931,2026-06-28,The Ryan Express,Black Mambas,14,9,https://lvc.sportstrack.app/softball/seasons/302/box-scores/11931
2026,,2026_sportstrack_11933,2026-06-29,Bash Brothers at The Sultans Of Swat,56 | Monday | 06/29/26 | 6:30 PM | TBD | The Sultans Of Swat |  | Bash Brothers |  |  |  | 11933,11933,2026-06-29,Bash Brothers,The Sultans Of Swat,,,https://lvc.sportstrack.app/softball/seasons/302/box-scores/11933
2026,,2026_sportstrack_11932,2026-06-30,The Big Papi's at The Big Units,57 | Tuesday | 06/30/26 | 6:30 PM | TBD | The Big Units |  | The Big Papi's |  |  |  | 11932,11932,2026-06-30,The Big Papi's,The Big Units,,,https://lvc.sportstrack.app/softball/seasons/302/box-scores/11932
2026,,2026_sportstrack_11949,2026-07-06,Muscle Hamsters at Bash Brothers,58 | Monday | 07/06/26 | 6:30 PM | TBD | Bash Brothers |  | Muscle Hamsters |  |  |  | 11949,11949,2026-07-06,Muscle Hamsters,Bash Brothers,,,https://lvc.sportstrack.app/softball/seasons/302/box-scores/11949
2026,,2026_sportstrack_11934,2026-07-07,Honey Badgers at Wild Things,59 | Tuesday | 07/07/26 | 6:30 PM | TBD | Wild Things |  | Honey Badgers |  |  |  | 11934,11934,2026-07-07,Honey Badgers,Wild Things,,,https://lvc.sportstrack.app/softball/seasons/302/box-scores/11934
2026,,2026_sportstrack_11898,2026-07-08,Lunch Pail Guys at Muscle Hamsters,60 | Wednesday | 07/08/26 | 6:30 PM | TBD | Muscle Hamsters |  | Lunch Pail Guys |  |  |  | 11898,11898,2026-07-08,Lunch Pail Guys,Muscle Hamsters,,,https://lvc.sportstrack.app/softball/seasons/302/box-scores/11898
2026,,2026_sportstrack_11935,2026-07-09,Muscle Hamsters at Nails,61 | Thursday | 07/09/26 | 6:30 PM | TBD | Nails |  | Muscle Hamsters |  |  |  | 11935,11935,2026-07-09,Muscle Hamsters,Nails,,,https://lvc.sportstrack.app/softball/seasons/302/box-scores/11935
2026,,2026_sportstrack_11936,2026-07-10,The Ryan Express at Lunch Pail Guys,62 | Friday | 07/10/26 | 6:30 PM | TBD | Lunch Pail Guys |  | The Ryan Express |  |  |  | 11936,11936,2026-07-10,The Ryan Express,Lunch Pail Guys,,,https://lvc.sportstrack.app/softball/seasons/302/box-scores/11936
2026,,2026_sportstrack_11937,2026-07-14,Black Mambas at 7th Floor Crew,63 | Tuesday | 07/14/26 | 6:30 PM | TBD | 7th Floor Crew |  | Black Mambas |  |  |  | 11937,11937,2026-07-14,Black Mambas,7th Floor Crew,,,https://lvc.sportstrack.app/softball/seasons/302/box-scores/11937
2026,,2026_sportstrack_11938,2026-07-16,7th Floor Crew at The Big Units,64 | Thursday | 07/16/26 | 6:30 PM | TBD | The Big Units |  | 7th Floor Crew |  |  |  | 11938,11938,2026-07-16,7th Floor Crew,The Big Units,,,https://lvc.sportstrack.app/softball/seasons/302/box-scores/11938
2026,,2026_sportstrack_11939,2026-07-17,The Big Papi's at Black Mambas,65 | Friday | 07/17/26 | 6:30 PM | TBD | Black Mambas |  | The Big Papi's |  |  |  | 11939,11939,2026-07-17,The Big Papi's,Black Mambas,,,https://lvc.sportstrack.app/softball/seasons/302/box-scores/11939
2026,,2026_sportstrack_11940,2026-07-18,The Ryan Express at The Sultans Of Swat,66 | Saturday | 07/18/26 | 9:00 AM | TBD | The Sultans Of Swat |  | The Ryan Express |  |  |  | 11940,11940,2026-07-18,The Ryan Express,The Sultans Of Swat,,,https://lvc.sportstrack.app/softball/seasons/302/box-scores/11940
2026,,2026_sportstrack_11941,2026-07-18,Muscle Hamsters at Wild Things,67 | Saturday | 07/18/26 | 10:30 AM | TBD | Wild Things |  | Muscle Hamsters |  |  |  | 11941,11941,2026-07-18,Muscle Hamsters,Wild Things,,,https://lvc.sportstrack.app/softball/seasons/302/box-scores/11941
2026,,2026_sportstrack_11942,2026-07-18,Honey Badgers at Nails,68 | Saturday | 07/18/26 | 12:00 PM | TBD | Nails |  | Honey Badgers |  |  |  | 11942,11942,2026-07-18,Honey Badgers,Nails,,,https://lvc.sportstrack.app/softball/seasons/302/box-scores/11942
2026,,2026_sportstrack_11923,2026-07-19,Bash Brothers at 7th Floor Crew,69 | Sunday | 07/19/26 | 3:00 PM | TBD | 7th Floor Crew |  | Bash Brothers |  |  |  | 11923,11923,2026-07-19,Bash Brothers,7th Floor Crew,,,https://lvc.sportstrack.app/softball/seasons/302/box-scores/11923
2026,,2026_sportstrack_11943,2026-07-19,Bash Brothers at Lunch Pail Guys,70 | Sunday | 07/19/26 | 4:30 PM | TBD | Lunch Pail Guys |  | Bash Brothers |  |  |  | 11943,11943,2026-07-19,Bash Brothers,Lunch Pail Guys,,,https://lvc.sportstrack.app/softball/seasons/302/box-scores/11943
2026,,2026_sportstrack_11944,2026-07-19,The Big Units at The Sultans Of Swat,71 | Sunday | 07/19/26 | 6:00 PM | TBD | The Sultans Of Swat |  | The Big Units |  |  |  | 11944,11944,2026-07-19,The Big Units,The Sultans Of Swat,,,https://lvc.sportstrack.app/softball/seasons/302/box-scores/11944
2026,,2026_sportstrack_11915,2026-07-20,Lunch Pail Guys at Wild Things,72 | Monday | 07/20/26 | 6:30 PM | TBD | Wild Things |  | Lunch Pail Guys |  |  |  | 11915,11915,2026-07-20,Lunch Pail Guys,Wild Things,,,https://lvc.sportstrack.app/softball/seasons/302/box-scores/11915
2026,,2026_sportstrack_11945,2026-07-21,The Big Papi's at Wild Things,73 | Tuesday | 07/21/26 | 6:30 PM | TBD | Wild Things |  | The Big Papi's |  |  |  | 11945,11945,2026-07-21,The Big Papi's,Wild Things,,,https://lvc.sportstrack.app/softball/seasons/302/box-scores/11945
2026,,2026_sportstrack_11920,2026-07-22,Wild Things at The Big Units,74 | Wednesday | 07/22/26 | 6:30 PM | TBD | The Big Units |  | Wild Things |  |  |  | 11920,11920,2026-07-22,Wild Things,The Big Units,,,https://lvc.sportstrack.app/softball/seasons/302/box-scores/11920
2026,,2026_sportstrack_11946,2026-07-23,7th Floor Crew at Nails,75 | Thursday | 07/23/26 | 6:30 PM | TBD | Nails |  | 7th Floor Crew |  |  |  | 11946,11946,2026-07-23,7th Floor Crew,Nails,,,https://lvc.sportstrack.app/softball/seasons/302/box-scores/11946
2026,,2026_sportstrack_11947,2026-07-24,Black Mambas at Lunch Pail Guys,76 | Friday | 07/24/26 | 6:30 PM | TBD | Lunch Pail Guys |  | Black Mambas |  |  |  | 11947,11947,2026-07-24,Black Mambas,Lunch Pail Guys,,,https://lvc.sportstrack.app/softball/seasons/302/box-scores/11947
2026,,2026_sportstrack_11948,2026-07-25,Honey Badgers at The Ryan Express,77 | Saturday | 07/25/26 | 9:00 AM | TBD | The Ryan Express |  | Honey Badgers |  |  |  | 11948,11948,2026-07-25,Honey Badgers,The Ryan Express,,,https://lvc.sportstrack.app/softball/seasons/302/box-scores/11948
2026,,2026_sportstrack_11950,2026-07-25,The Big Units at Lunch Pail Guys,78 | Saturday | 07/25/26 | 12:00 PM | TBD | Lunch Pail Guys |  | The Big Units |  |  |  | 11950,11950,2026-07-25,The Big Units,Lunch Pail Guys,,,https://lvc.sportstrack.app/softball/seasons/302/box-scores/11950
2026,,2026_sportstrack_11951,2026-07-26,Nails at The Big Papi's,79 | Sunday | 07/26/26 | 4:30 PM | TBD | The Big Papi's |  | Nails |  |  |  | 11951,11951,2026-07-26,Nails,The Big Papi's,,,https://lvc.sportstrack.app/softball/seasons/302/box-scores/11951
2026,,2026_sportstrack_11952,2026-07-26,The Sultans Of Swat at 7th Floor Crew,80 | Sunday | 07/26/26 | 6:00 PM | TBD | 7th Floor Crew |  | The Sultans Of Swat |  |  |  | 11952,11952,2026-07-26,The Sultans Of Swat,7th Floor Crew,,,https://lvc.sportstrack.app/softball/seasons/302/box-scores/11952
2026,,2026_sportstrack_11953,2026-07-28,Bash Brothers at Wild Things,81 | Tuesday | 07/28/26 | 6:30 PM | TBD | Wild Things |  | Bash Brothers |  |  |  | 11953,11953,2026-07-28,Bash Brothers,Wild Things,,,https://lvc.sportstrack.app/softball/seasons/302/box-scores/11953
2026,,2026_sportstrack_11954,2026-07-30,Black Mambas at Muscle Hamsters,82 | Thursday | 07/30/26 | 6:30 PM | TBD | Muscle Hamsters |  | Black Mambas |  |  |  | 11954,11954,2026-07-30,Black Mambas,Muscle Hamsters,,,https://lvc.sportstrack.app/softball/seasons/302/box-scores/11954
2026,,2026_sportstrack_11955,2026-07-31,The Ryan Express at Honey Badgers,83 | Friday | 07/31/26 | 6:30 PM | TBD | Honey Badgers |  | The Ryan Express |  |  |  | 11955,11955,2026-07-31,The Ryan Express,Honey Badgers,,,https://lvc.sportstrack.app/softball/seasons/302/box-scores/11955
2026,,2026_sportstrack_11956,2026-08-01,The Big Units at Honey Badgers,84 | Saturday | 08/01/26 | 9:00 AM | TBD | Honey Badgers |  | The Big Units |  |  |  | 11956,11956,2026-08-01,The Big Units,Honey Badgers,,,https://lvc.sportstrack.app/softball/seasons/302/box-scores/11956
2026,,2026_sportstrack_11957,2026-08-01,Muscle Hamsters at The Big Papi's,85 | Saturday | 08/01/26 | 10:30 AM | TBD | The Big Papi's |  | Muscle Hamsters |  |  |  | 11957,11957,2026-08-01,Muscle Hamsters,The Big Papi's,,,https://lvc.sportstrack.app/softball/seasons/302/box-scores/11957
2026,,2026_sportstrack_11958,2026-08-02,Black Mambas at Wild Things,86 | Sunday | 08/02/26 | 4:30 PM | TBD | Wild Things |  | Black Mambas |  |  |  | 11958,11958,2026-08-02,Black Mambas,Wild Things,,,https://lvc.sportstrack.app/softball/seasons/302/box-scores/11958
2026,,2026_sportstrack_11959,2026-08-02,The Ryan Express at Nails,87 | Sunday | 08/02/26 | 6:00 PM | TBD | Nails |  | The Ryan Express |  |  |  | 11959,11959,2026-08-02,The Ryan Express,Nails,,,https://lvc.sportstrack.app/softball/seasons/302/box-scores/11959
